"0hr"	"9.5hr"	"11.5hr"	"13.5hr"	"15.5hr"	"18.5hr"	"20.5hr"
"3359"	-0.233	-0.242	0.554	0.198	-0.046	0.697	0.251
"3360"	0.406	0.416	0.026	-0.131	-0.385	-0.706	-0.452
"3361"	-0.336	-0.29	-0.287	-0.361	-0.252	-0.015	-0.272
"3362"	-0.452	-0.255	-0.064	0.052	0.037	0.367	0.137
"3363"	-0.314	0.341	0.048	0.324	0.448	0.616	0.435
"3364"	-0.593	-0.177	0.796	1.036	2.168	2.015	1.693
"3365"	-0.387	-0.02	0.067	0.479	1.806	1.555	0.873
"3366"	-0.158	-0.298	-0.205	-0.284	-0.394	0.246	1.002
"3367"	0.13	-0.011	-0.298	-0.19	-0.371	-1.304	-0.982
"3368"	-0.925	-0.748	-0.137	-0.388	-0.439	0.39	0.268
"3369"	-0.219	-0.466	-0.662	-0.624	-0.704	-0.607	-1.052
"3370"	0.202	-0.049	0.014	-0.329	-1.019	0.874	1.008
"3371"	-0.433	-0.834	-0.31	-0.377	-0.679	0.581	0.273
"3372"	-0.264	-0.469	-0.309	-0.209	-0.405	0.295	0.432
"3373"	0.208	0.112	0.299	0.47	0.435	0.082	0.2
"3374"	-1.339	NA	NA	-0.879	-1.621	0.924	0.311
"3375"	-0.207	-0.53	-0.259	-0.009	-0.314	0.026	0.116
"3376"	-0.432	-0.705	0.037	0.054	0.27	0.966	0.28
"3377"	-0.514	-0.3	0.054	-0.179	-0.861	1.156	2.761
"3378"	-0.675	-0.886	-0.082	-0.126	-0.104	0.984	0.639
"3379"	-0.014	-0.047	-0.239	-0.11	0.055	-0.502	-0.233
"3380"	0.086	0.325	0.131	0.64	0.821	0.913	1.003
"3381"	-0.792	-0.796	-0.354	-0.203	-0.74	0.729	0.589
"3382"	-0.336	-0.609	-0.291	-0.121	-0.482	0.307	0.317
"3383"	0.12	0.155	-0.078	-0.014	0.052	-0.652	-0.412
"3384"	-0.418	-0.412	-0.479	-0.042	0.117	0.389	-0.055
"3385"	-0.16	-0.452	0.104	0.385	0.353	0.855	0.812
"3386"	0.203	0.208	0.024	0.039	0.02	-0.495	-0.364
"3387"	-0.333	-0.404	-0.337	-0.257	0.097	0.882	-0.228
"3388"	-0.846	-0.807	0.426	-0.422	-0.376	0.691	0.401
"3389"	-0.339	-0.398	-0.319	-0.428	-0.52	0.077	0.083
"3390"	-0.808	-0.509	0.22	-0.387	-0.529	0.544	0.3
"3391"	-0.512	-0.402	-0.366	-1.164	-1.217	0.283	-0.9
"3392"	-0.271	-0.54	-0.064	-0.774	-1.015	0.034	-0.761
"3393"	0.197	0.145	0.27	0.156	0.356	0.725	0.623
"3394"	0.323	-0.165	0.179	-0.512	-0.442	0.121	-0.192
"3395"	0.163	0.26	0.065	0.184	0.131	0.043	0.371
"3396"	-0.584	-0.528	-0.005	-0.463	0.074	0.936	0.058
"3397"	-2.091	-1.316	0.291	-0.402	0.045	1.254	0.838
"3398"	0.059	-0.083	-0.342	-0.172	-0.014	-0.097	0.2
"3399"	-0.421	-0.718	-0.041	0.043	-0.318	0.911	0.26
"3400"	-0.083	-0.215	-0.09	0.109	0.107	0.216	0.507
"3401"	-1.216	-1.108	-0.22	-0.579	-0.65	0.334	0.154
"3402"	-0.614	-0.568	-0.379	-0.473	-0.746	0.444	-0.249
"3403"	-0.532	-0.742	-0.6	-0.544	-0.703	0.604	0.701
"3404"	0.008	-0.025	-0.007	0.076	0.052	-0.01	-0.432
"3405"	0.042	0.051	-0.029	0.073	-0.082	-0.839	-0.594
"3406"	-0.557	-0.545	-0.401	-0.2	-0.114	1.248	0.399
"3407"	-0.285	-0.29	-0.246	-0.132	-0.135	0.514	0.025
"3408"	-0.082	-0.222	-0.355	-0.205	0.01	0.393	-0.215
"3409"	-0.152	-0.237	-0.301	-0.104	-0.217	-0.215	-0.348
"3410"	0.014	0.008	-0.222	-0.219	-0.108	0.744	0.98
"3411"	-0.079	-0.256	-0.08	-0.319	-0.303	-1.21	-1.073
"3412"	-0.37	-0.475	-0.095	-0.036	0.024	-0.172	-0.368
"3413"	-0.153	-0.87	-0.297	0.146	0.206	0.566	-0.018
"3414"	-0.03	-0.646	-0.528	-0.311	-0.451	1.344	1.435
"3415"	0.272	0.177	0.118	1.19	1.269	2.133	2.037
"3416"	-1.134	-1.512	-0.469	-0.493	-0.725	0.639	0.827
"3417"	0.091	0.275	0.078	-0.325	-0.393	-0.865	-0.739
"3418"	0.141	0.243	-0.148	-0.146	-0.118	-0.821	-1.028
"3419"	-0.016	-0.253	-0.63	-0.732	-0.724	-1.165	-0.745
"3420"	-0.192	-0.289	-0.129	-0.064	0.01	0.24	0.07
"3421"	-0.066	-0.007	0.222	0.47	0.659	1.415	0.915
"3422"	-0.068	0.463	1.129	0.717	1.019	0.958	1.099
"3423"	0.108	0.038	-0.41	-0.642	-0.755	-0.821	-1.246
"3424"	-0.004	-0.141	-0.44	-0.406	-0.345	-0.711	-1.253
"3425"	0.071	0.044	-0.404	0.012	0.213	0.603	1.013
"3426"	0.034	0.046	-0.139	0.205	-0.011	0.195	0.176
"3427"	0.147	0.193	0.052	0.163	0.122	-0.964	-0.345
"3428"	0.069	0.182	0.277	0.673	0.805	1.514	0.832
"3429"	0.054	0.061	0.049	-0.005	0.09	0.321	0.262
"3430"	0.162	0.056	-0.215	-0.25	-0.443	-0.413	-0.253
"3431"	-0.07	0.012	-0.258	-0.139	-0.267	0.102	0.135
"3432"	0.013	-0.062	-0.046	0.053	0.103	0.286	-0.301
"3433"	-0.09	-0.119	-0.142	0.006	-0.148	-0.884	-0.78
"3434"	0.283	0.206	-0.174	-0.016	0.08	-0.973	-0.559
"3435"	0.212	0.227	0.062	0.04	-0.026	-0.198	-0.034
"3436"	0.046	0.097	-0.064	-0.037	-0.172	-0.604	-0.288
"3437"	-0.566	-0.594	-0.231	-0.034	-0.499	0.077	-0.032
"3438"	0.035	0.152	-0.09	-0.031	-0.013	-0.227	-0.246
"3439"	0.133	0.083	-0.048	0.049	-0.631	-0.309	-0.197
"3440"	0.121	-0.05	-0.18	0.041	-0.604	-0.32	0.121
"3441"	-0.025	0.091	-0.41	-0.394	-0.095	-0.165	-0.615
"3442"	-0.022	0.026	-0.119	-0.17	0.017	-1.485	-2.187
"3443"	-0.235	-0.179	-0.376	-0.383	-0.419	-0.552	-0.534
"3444"	-0.05	0.185	-0.355	-0.431	-0.385	-0.946	-0.641
"3445"	-0.201	-0.194	-0.346	-0.042	-0.123	0.987	0.034
"3446"	0.08	0.014	-0.206	-0.05	0.023	-0.392	-0.258
"3447"	-0.177	-0.164	-0.292	-0.003	0.031	-0.43	-0.095
"3448"	-0.097	-0.201	0.024	-0.27	-0.415	0.193	0.044
"3449"	-0.167	-0.105	-0.325	-0.093	-0.273	-0.22	NA
"3450"	-0.365	-0.127	-0.093	-0.264	-0.401	0.045	NA
"3451"	-0.064	-0.134	-0.042	-0.055	0.054	-0.098	-0.651
"3452"	0.166	0.004	-0.343	-0.224	-0.228	0.061	0.44
"3453"	0.153	-0.447	-0.998	-1.146	-1.243	-1.836	-1.581
"3454"	0.211	0.011	0.341	0.415	0.446	-0.82	-1.069
"3455"	-0.581	-0.74	0.014	-0.01	-0.393	0.625	-0.038
"3456"	0.133	-0.003	0.178	0.018	-0.037	0.168	0.278
"3457"	0.188	0.245	0.448	0.646	0.61	0.747	0.757
"3458"	0.368	0.133	0.342	0.487	0.754	-0.102	-0.764
"3459"	-0.228	-0.268	0.088	0.123	-0.031	0.12	0.609
"3460"	0.098	-0.044	-0.04	-0.383	-0.251	-2.185	-2.312
"3461"	-0.061	-0.162	0	-0.384	-0.218	-1.072	-1.52
"3462"	0.071	-0.048	0.215	0.099	0.298	-0.423	-0.496
"3463"	-0.074	0.044	-0.186	-0.323	-0.482	-0.005	0.392
"3464"	-0.367	-0.188	0.082	0.18	-0.152	0.463	0.264
"3465"	-0.393	-0.472	-0.315	0.223	0.103	1.511	0.54
"3466"	0.028	0.057	0.022	0.087	0.13	-0.279	-0.39
"3467"	-0.757	-0.642	0.499	0.32	-0.156	1.703	1.376
"3468"	0.226	0.353	-0.17	0.1	0.101	-0.772	-1.307
"3469"	-1.457	-0.859	0.306	0.166	0.244	1.213	1.183
"3470"	-0.018	0.031	-0.315	-0.393	-0.309	0.343	-0.52
"3471"	0.218	-0.165	-1.249	-1.417	-1.437	-0.517	-0.489
"3472"	0.061	0.127	0.141	0.287	0.372	0.793	0.687
"3473"	-0.276	-0.248	-0.198	-0.264	-0.433	0.178	0.876
"3474"	0.161	0.42	0.186	0.321	0.252	-1.014	-1.76
"3475"	-0.409	-0.151	0.307	-0.138	-0.152	1.583	0.904
"3476"	-0.113	-0.011	0.081	0.1	0.354	0.7	0.087
"3477"	-0.638	-0.614	0.219	0.056	-0.019	2.086	1.254
"3478"	0.185	0.404	0.839	1.225	1.316	1.863	1.471
"3479"	-0.076	0.086	0.128	0.254	0.053	1.026	0.506
"3480"	0.006	-0.118	-0.037	-0.336	-0.498	0.63	0.282
"3481"	0.113	0.01	-0.007	-0.502	-0.665	-1.065	0.085
"3482"	-0.015	-0.023	-0.095	-0.588	-0.532	-1.141	-0.074
"3483"	-0.176	-0.196	-0.342	-0.334	0.202	0.674	0.105
"3484"	-0.106	-0.17	0.088	0.252	0.479	0.416	-0.058
"3485"	-0.43	-0.606	-0.328	0.23	0.247	1.249	0.579
"3486"	0.011	0.046	-0.088	-0.585	-0.659	-2.233	-2.053
"3487"	0.017	0.221	0.109	0.102	-0.051	-1.082	-0.888
"3488"	0.005	-0.038	-0.161	-0.335	-0.324	-2.016	-2.096
"3489"	-0.36	NA	-0.16	0.169	-0.301	0.464	NA
"3490"	-0.191	NA	-0.302	-0.017	-0.038	0.03	NA
"3491"	-1.065	NA	0.235	-0.159	-0.584	0.548	NA
"3492"	-0.145	-0.247	0.402	0.48	0.247	0.371	0.282
"3493"	0.231	-0.049	0.16	NA	0.336	0.167	-0.695
"3494"	-1.157	-1.205	-0.106	NA	-0.47	0.688	0.682
"3495"	-0.305	-0.706	-0.155	0.507	-0.66	0.731	0.292
"3496"	-0.462	-0.698	-0.273	-0.354	-0.51	0.622	0.361
"3497"	-1.5	-1.387	0.059	-0.159	-0.933	0.862	0.554
"3498"	-0.588	-0.799	-0.002	-0.255	-0.185	0.507	0.077
"3499"	-0.248	-0.424	0.235	-0.082	-0.291	0.263	-0.346
"3500"	-0.103	-0.235	-0.106	-0.086	-0.301	0.467	0.763
"3501"	-0.853	-0.732	0.428	-0.082	-0.536	0.667	0.529
"3502"	0.164	-0.145	0.226	0.008	-0.056	0.471	0.293
"3503"	-1.346	-0.915	0.551	0.082	0.097	0.928	NA
"3504"	-1.464	-0.898	0.457	-0.159	0.139	0.829	0.616
"3505"	0.139	0.459	0.338	0.462	0.54	0.225	-0.365
"3506"	-0.588	-0.808	-0.1	-0.035	-0.582	0.97	0.479
"3507"	0.165	0.294	0.01	-0.031	0.014	-0.613	0.142
"3508"	0.053	-0.018	0.043	0.027	-0.234	0.381	-0.204
"3509"	0.087	0.134	-0.018	0.272	0.358	-0.285	0.033
"3510"	-0.425	-0.128	0.057	-0.223	-0.513	0.141	-0.502
"3511"	0.373	0.497	0.587	0.256	0.267	-0.459	-0.581
"3512"	-0.538	-0.364	0.147	-0.131	-0.465	0.763	0.723
"3513"	0.226	0.096	-0.23	-0.355	-0.311	-0.002	-0.218
"3514"	-0.326	-0.382	0.292	0.273	-0.036	0.741	0.364
"3515"	-0.098	-0.063	0.54	1.144	1.372	2.948	3.054
"3516"	0.105	0.157	-0.084	-0.229	0.145	-0.61	-0.456
"3517"	-0.27	-0.043	0.302	0.087	0.007	0.856	0.528
"3518"	0.033	-0.145	-0.383	-0.756	-1.307	-0.471	0.507
"3519"	-0.519	-0.539	-0.02	-0.404	-0.682	0.775	0.115
"3520"	-0.961	-0.61	0.3	-0.1	-0.319	1.105	0.538
"3521"	0.259	-0.654	-0.123	-0.152	-0.376	0.905	0.464
"3522"	-0.622	-0.511	0.02	-0.088	0.096	0.907	0.723
"3523"	-0.098	-0.141	-0.449	-0.682	-0.684	-1.644	-1.199
"3524"	-0.159	-0.428	-0.815	-0.667	-0.444	-0.195	-0.466
"3525"	-0.222	-0.271	0.191	0.04	-0.57	-0.299	-0.438
"3526"	0.415	0.211	0.107	0.172	0.259	-0.127	-0.584
"3527"	0.212	0.42	0.012	0.07	0.132	-0.225	-1.065
"3528"	-0.519	-0.027	0.099	-0.294	-0.657	0.374	-0.042
"3529"	-0.274	NA	-0.201	0.422	0.378	1.415	NA
"3530"	-0.298	NA	0.047	-0.062	-0.156	-0.276	NA
"3531"	-0.223	-0.332	-0.07	0.017	-0.269	0.111	NA
"3532"	-0.192	-0.133	-0.11	-0.135	-0.254	1.175	1.117
"3533"	-0.365	-0.533	0.015	NA	-0.701	0.437	0.556
"3534"	0.125	0.163	0.286	NA	0.288	-0.161	-0.105
"3535"	-0.373	-0.58	-0.016	NA	-0.344	0.534	0.323
"3536"	-0.307	0.431	0.35	NA	-0.375	0.33	-0.215
"3537"	-1.394	-0.569	0.467	NA	-0.681	0.883	NA
"3538"	-0.056	0.087	-0.171	-0.078	-0.157	-0.402	-0.223
"3539"	-0.504	-0.719	0.17	0.206	-0.39	1.142	1.222
"3540"	-0.185	0.003	0.004	0.516	0.616	1.159	0.794
"3541"	-0.026	-0.147	-0.068	-0.15	-0.099	0.275	-0.086
"3542"	-0.09	-0.109	0.371	-0.223	-0.298	-0.132	-0.82
"3543"	-0.136	0.005	0.257	0.304	0.401	0.673	0.261
"3544"	-0.259	-0.465	-0.016	-0.218	0.112	0.903	-0.267
"3545"	-0.126	0.084	0.641	0.502	0.722	1.305	1.541
"3546"	-0.476	-0.335	0.012	-0.156	-0.54	0.218	-0.078
"3547"	-0.467	-0.218	0.265	0.044	0.08	0.515	-0.135
"3548"	0.11	0.021	-0.031	-0.06	0.264	0.699	-0.122
"3549"	-0.817	-0.694	0.156	0.017	-0.357	0.736	0.313
"3550"	-0.582	-0.766	-0.143	-0.317	-0.559	0.718	0.043
"3551"	-0.964	-0.677	0.252	0.057	-0.038	0.871	NA
"3552"	0.117	0.005	0.067	-0.432	-0.769	-1.077	-1.491
"3553"	0.117	-0.086	-0.45	-0.038	-0.088	-0.86	-1.096
"3554"	0.021	-0.005	0.141	0.408	0.6	1.117	0.176
"3555"	0.24	0.55	0.878	1.722	1.932	2.382	2.023
"3556"	-0.274	-0.63	-0.155	0.109	-0.251	0.762	0.136
"3557"	0.11	0.364	0.428	-0.086	-0.25	0.31	-0.748
"3558"	-0.461	-0.275	0.177	-0.069	-0.225	0.516	0.058
"3559"	-0.299	-0.123	0.094	0.106	-0.437	0.881	0.685
"3560"	-0.006	0.086	0.506	0.226	0.037	0.457	-0.087
"3561"	0.113	0.085	-0.158	0.113	0.172	-1.092	-1.298
"3562"	-0.044	0.065	-0.181	-0.162	0.212	0.542	-0.343
"3563"	-0.129	-0.436	0.022	-0.494	-0.375	-0.098	-0.547
"3564"	-0.074	-0.159	0.325	0.101	0.318	0.01	-0.546
"3565"	-0.5	-0.743	-0.897	-0.372	-0.435	0.702	-0.028
"3566"	0.031	-0.091	-0.309	0.111	0.219	0.391	0.644
"3567"	-0.078	-0.013	-0.021	0.09	0.014	-0.132	-0.573
"3568"	-0.653	-0.579	0.043	-0.095	-0.231	0.649	0.326
"3569"	-0.078	NA	0.051	0.18	-0.121	0.454	NA
"3570"	0.015	NA	0.301	0.251	0.269	0.259	NA
"3571"	0.071	-0.028	-0.224	-0.855	-0.999	-1.933	-5.481
"3572"	-0.017	-0.048	0.112	-0.105	-0.235	-0.286	NA
"3573"	-0.166	-0.126	0.324	-0.124	-0.216	0.023	NA
"3574"	-0.224	-0.34	-0.173	NA	-0.167	-0.006	-0.538
"3575"	0.275	0.243	0.218	NA	0.017	-1.678	-2.514
"3576"	0.064	-0.317	-0.42	NA	-0.497	-0.817	-0.557
"3577"	0.047	-0.095	-0.345	NA	-0.406	-0.195	-0.259
"3578"	-0.113	-0.315	-0.054	NA	0.279	0.643	0.135
"3579"	-0.131	-0.106	0.018	-0.01	0.044	-0.433	0.093
"3580"	-0.162	-0.27	-0.202	-0.178	-0.121	-0.463	-0.867
"3581"	-0.236	-0.331	-0.086	-0.236	0.055	0.547	0.332
"3582"	-0.127	-0.134	-0.018	0.027	-0.033	0.302	-0.11
"3583"	-0.369	-0.534	-0.563	-0.448	-0.926	-0.652	-1.653
"3584"	-0.062	-0.274	0.054	-0.056	0.156	0.261	-0.3
"3585"	-0.166	-0.378	-0.16	0.152	0.55	1.374	0.613
"3586"	0.049	-0.087	-0.227	-0.318	-0.138	-0.674	-0.402
"3587"	0.022	-0.078	0.127	-0.042	-0.045	0.648	0.515
"3588"	-0.047	-0.017	0.239	0.086	0.158	0.917	0.296
"3589"	0.044	-0.218	-0.032	-0.278	0.014	0.525	0.118
"3590"	0.011	0.188	-0.08	-0.127	-0.128	0.064	-0.41
"3591"	-0.035	-0.091	-0.171	-0.008	0.179	1.504	0.608
"3592"	-0.352	-0.382	0.177	0.058	0.058	0.416	0.299
"3593"	0.03	-0.059	-0.15	0.127	0.163	-0.18	0.112
"3594"	0.197	0.347	0.351	-0.225	-0.342	-1.044	-0.871
"3595"	-0.125	-0.254	0.252	0.229	0.311	1.617	1.048
"3596"	0.259	0.198	0.237	-0.358	-0.775	-0.729	-1.487
"3597"	0.309	0.21	-0.253	0.193	0.511	0.594	-0.088
"3598"	-0.276	-0.386	0.156	0.207	0.368	1.074	0.6
"3599"	-0.042	-0.087	0.114	-0.022	-0.141	-0.421	-0.706
"3600"	-0.11	0.246	0.38	0.999	1.26	2.54	1.443
"3601"	-0.154	-0.005	0.052	-0.145	0.134	0.071	0.175
"3602"	-0.24	-0.265	0.124	0.085	-0.115	-0.147	-0.426
"3603"	0.009	-0.33	-0.312	-0.47	-0.042	0.192	0.142
"3604"	-0.647	-0.828	0.007	-0.749	-0.542	0.438	2.834
"3605"	-0.02	-0.202	0.363	0.083	-0.008	0.015	0.06
"3606"	-0.281	-0.3	-0.185	-0.027	-0.248	0.237	-0.236
"3607"	0.028	0.046	0.051	0.492	0.086	-0.092	-0.129
"3608"	-0.28	-0.237	-0.234	0.091	-0.084	-0.577	-0.281
"3609"	0.177	NA	0.516	0.583	0.339	0.155	NA
"3610"	-0.159	NA	0.377	0.46	0.047	0.292	-0.758
"3611"	-0.312	NA	-0.233	-0.051	-0.203	-0.505	-0.78
"3612"	-0.334	NA	-0.496	-0.554	-0.438	0.002	-0.917
"3613"	-0.416	-0.356	0.15	-0.141	-0.221	0.698	NA
"3614"	0.077	-0.043	-0.238	-0.232	-0.24	-0.733	-1.093
"3615"	-0.609	-0.385	0.335	NA	-0.26	0.44	NA
"3616"	0.065	-0.056	0.267	NA	0.173	0.322	-0.204
"3617"	0.283	0.372	0.489	NA	-0.576	-1.089	-1.731
"3618"	0.245	0.172	0.479	NA	-0.321	-0.62	-0.967
"3619"	-0.093	-0.023	-0.238	NA	-0.238	-0.093	-0.298
"3620"	0.082	0.098	-0.075	NA	-0.903	-1.47	-1.308
"3621"	0.266	-0.643	0.414	0.189	0.436	2.073	1.53
"3622"	-0.298	-0.336	-0.059	-0.236	-0.526	0.768	0.372
"3623"	-0.361	-0.066	0.452	0.266	-0.025	0.582	0.692
"3624"	-0.002	0.077	0.141	0.184	0.533	0.815	0.762
"3625"	0.032	-0.153	-0.293	-0.096	0.046	0.289	0.129
"3626"	-1.183	-0.809	0.461	-0.26	-1.01	1.733	1.357
"3627"	-0.584	-0.427	0.328	-0.22	-0.229	0.909	0.11
"3628"	0.236	0.149	0.292	0.233	0.519	-0.306	-0.971
"3629"	0.121	0.278	0.051	0.087	0.117	0.536	0.51
"3630"	-0.276	0.13	0.107	0.167	0.351	0.591	0.282
"3631"	-0.444	-0.194	0.313	-0.14	-0.228	1.227	1.81
"3632"	0.06	0.019	-0.23	0.054	0.088	0.513	0.347
"3633"	0.04	0.042	0.015	0.172	0.165	0.911	0.423
"3634"	0.097	-0.199	-0.102	-0.106	-0.014	-0.012	-0.388
"3635"	-0.321	-0.319	-0.038	-0.057	-0.298	0.859	0.573
"3636"	0.326	0.447	-0.411	-0.746	-0.995	-2.191	-1.813
"3637"	-0.066	0.337	0.393	-0.028	-0.628	0.542	0.088
"3638"	-0.458	-0.271	0.03	-0.207	-0.795	0.84	0.347
"3639"	-0.161	0.46	0.992	1.768	2.399	2.51	3.065
"3640"	0.187	0.344	0.495	0.24	0.186	-0.18	-0.804
"3641"	0.184	0.554	0.614	-0.112	0.042	-1.504	-1.405
"3642"	-0.444	0.456	-0.282	-0.149	0.161	0.817	0.313
"3643"	0.013	0.375	0.309	-0.357	-0.218	-1.122	-1.226
"3644"	0.221	-0.035	0.115	-0.28	-0.018	-0.023	-1.274
"3645"	-0.566	-0.639	-0.005	-0.438	-0.277	0.307	0.242
"3646"	-0.196	-0.352	-0.172	-0.279	-0.383	0.386	0.115
"3647"	0.05	-0.028	0.128	0.08	0.043	0.403	0.19
"3648"	-0.014	-0.19	0.134	-0.579	-0.761	-0.587	-0.972
"3649"	-0.496	NA	-0.404	-0.148	-0.602	0.384	0.356
"3650"	0.222	NA	0.778	0.314	0.006	-0.883	-1.308
"3651"	-0.066	NA	0.087	-0.075	-0.195	0.093	0.018
"3652"	-0.576	NA	0.116	-0.135	-0.376	0.667	0.822
"3653"	0.233	0.087	-0.017	0.03	0.299	1.07	0.945
"3654"	0.042	0.146	-0.138	0.037	0.228	-0.469	-0.309
"3655"	-0.336	-0.301	0.185	NA	-0.5	0.231	-0.38
"3656"	-0.25	-0.564	-0.522	NA	-0.442	0.043	NA
"3657"	-0.151	-0.241	-0.018	NA	-0.171	0.207	-0.098
"3658"	0.187	0.018	0.109	NA	-0.115	0.054	0.366
"3659"	-0.115	-0.434	0.126	NA	-0.858	0.048	-0.423
"3660"	0.111	-0.095	-0.087	NA	-0.303	-1.046	-0.735
"3661"	0.43	0.227	0.399	NA	0.225	-1.287	-2.083
"3662"	0.236	0.215	0.252	NA	0.914	1.029	0.723
"3663"	-0.575	-0.278	0.233	-0.15	-0.689	0.638	0.381
"3664"	-0.483	-0.417	0.446	-0.2	-0.183	0.472	-0.306
"3665"	0.012	0.097	-0.114	-0.428	-0.472	0.131	-0.277
"3666"	-0.748	-0.603	-0.182	-0.424	-0.64	0.735	0.217
"3667"	0.078	0.235	-0.145	-0.093	-0.224	-0.577	-0.257
"3668"	-0.053	0.078	0.301	0.206	0.021	0.338	-0.369
"3669"	0.155	0.079	0.311	0.006	0.092	0.13	-0.439
"3670"	-0.35	-0.571	0.003	-0.156	-0.149	0.831	0.472
"3671"	-0.34	-0.139	0.13	0.107	0.129	1.326	1.403
"3672"	0.373	0.31	0.121	0.321	0.536	-0.312	-0.652
"3673"	-0.733	-1.322	0.086	0.053	0.067	0.974	0.71
"3674"	-0.609	-0.768	0.022	-0.095	-0.342	0.738	0.71
"3675"	-0.944	-0.829	0.104	-0.161	-0.176	0.942	0.682
"3676"	0.262	0.193	-0.039	0.106	0.26	0.72	0.328
"3677"	0.154	0.076	-0.019	0.002	-0.112	-0.593	0.017
"3678"	0.233	0.081	0.097	-0.003	-0.17	-0.05	0.082
"3679"	0.055	0.13	-0.016	-0.027	0.147	0.963	0.461
"3680"	-0.735	-0.651	-0.327	-0.464	-0.575	0.687	0.508
"3681"	0.167	0.292	0.593	0.136	0.36	-0.35	-0.507
"3682"	-0.56	-0.438	0.075	-0.204	0.205	0.379	0.033
"3683"	-0.957	-0.724	0.136	-0.067	0.47	1.231	2.743
"3684"	-0.354	-0.417	-0.308	-0.177	0.234	0.172	-0.005
"3685"	-0.237	-0.572	-0.308	NA	-0.097	0.199	0.083
"3686"	-0.164	-0.489	-0.633	NA	0.113	0.648	0.17
"3687"	-0.237	-0.4	-0.173	-0.506	-0.657	0.013	0.108
"3688"	-1.036	-1.045	-0.148	-0.499	-0.57	0.859	1.743
"3689"	-0.726	-0.432	-0.386	-0.07	0.3	2.824	1.681
"3690"	-0.153	-0.296	-0.206	-0.143	-0.406	0.785	1.077
"3691"	-0.822	NA	-0.239	-0.392	-0.93	0.676	0.727
"3692"	-0.349	NA	-0.103	-0.002	-0.382	0.628	0.82
"3693"	0.021	NA	-0.216	0.299	0.373	0.347	-0.368
"3694"	0.09	-0.365	-0.041	0.006	-0.004	0.063	-0.1
"3695"	-0.18	-0.126	0.359	NA	0.314	0.789	0.494
"3696"	-0.388	-0.857	-0.298	NA	-0.95	0.679	0.463
"3697"	-0.585	-0.677	0.211	NA	0.68	1.316	1.115
"3698"	-0.337	-0.249	0.243	NA	0.511	1.121	NA
"3699"	-0.138	-0.361	-0.629	NA	-0.753	-0.359	0.281
"3700"	-0.252	-0.294	0.005	NA	-0.341	0.284	-0.736
"3701"	0.132	-0.02	-0.065	NA	0.912	2.538	2.376
"3702"	-0.017	-0.158	0.179	NA	0.434	0.275	0.013
"3703"	-0.835	-0.654	0.264	NA	0.024	0.674	-0.277
"3704"	-0.654	-0.407	0.373	NA	0.26	1.044	0.655
"3705"	0.231	0.424	0.301	1.203	1.772	2.606	0.826
"3706"	0.113	0.179	-0.16	-0.61	-0.831	-0.455	-1.9
"3707"	0.049	0.165	0.001	0.121	0.065	-0.931	-0.823
"3708"	-0.074	-0.073	0.073	0.193	0.078	0.83	0.2
"3709"	-0.417	-0.579	-0.124	0.119	0.081	1.408	0.658
"3710"	-0.095	0.089	-0.133	0.82	1.013	1.601	1.787
"3711"	0.062	-0.05	0.146	0.218	0.219	0.531	-0.212
"3712"	0.254	0.214	0.041	0.277	0.151	-0.107	-0.814
"3713"	-0.057	-0.099	-0.233	0.004	-0.306	-0.001	0.087
"3714"	0.276	0.43	0.333	0.261	0.061	-0.199	-0.507
"3715"	0.247	0.195	0.409	-0.049	-0.475	-0.892	-1.03
"3716"	-0.027	-0.108	-0.026	-0.235	-0.1	-1.363	-1.683
"3717"	0.014	-0.272	-0.118	-0.156	-0.338	0.687	0.349
"3718"	-0.493	-0.799	0.054	-0.046	-0.785	1.153	1.332
"3719"	0.315	0.247	0.175	0.238	0.279	1.047	0.661
"3720"	-0.105	-0.002	-0.135	-0.005	-0.204	-0.039	-0.044
"3721"	-0.075	0.011	-0.148	-0.061	0.154	0.192	0.025
"3722"	0.057	-0.275	0.267	0.06	0.382	0.194	-0.267
"3723"	-0.06	-0.084	-0.174	0.067	0.529	0.687	-0.05
"3724"	-0.061	-0.308	-0.197	-0.27	0.08	-0.189	-0.784
"3725"	-0.227	-0.294	-0.276	-0.334	-0.061	-0.057	-0.168
"3726"	-0.209	-0.416	-0.788	-0.198	-0.105	0.211	0.047
"3727"	0.147	-0.384	-0.093	-0.597	-0.616	-1.65	-2.376
"3728"	0.068	-0.069	0.249	-0.632	-0.631	-1.427	-1.962
"3729"	-0.149	-0.212	-0.508	-0.478	-0.583	-1.19	NA
"3730"	-0.008	0.111	-0.043	0.182	-0.146	-0.405	-0.123
"3731"	-0.504	NA	-0.23	0.172	0.182	1.337	1.273
"3732"	-0.071	NA	-0.091	0.267	0.135	0.852	0.54
"3733"	-0.043	NA	0.269	0.051	-0.009	0.372	-0.203
"3734"	0.09	-0.065	0.088	0.215	0.2	-1.322	-2.161
"3735"	-0.192	-0.357	0.046	-0.226	-0.489	-0.132	-0.956
"3736"	-0.451	-0.627	-0.429	0.325	-0.503	0.66	0.197
"3737"	0.206	0.186	0.301	NA	-0.303	-0.265	-0.905
"3738"	0.136	0.019	-0.083	NA	-0.067	-0.186	-0.622
"3739"	-0.006	0.036	0.174	NA	0.027	0.366	0.137
"3740"	-0.075	-0.094	-0.272	NA	0.087	0.247	0.459
"3741"	-0.255	-0.052	0.1	NA	-0.012	0.07	0.183
